id,num_words,score,date,homicidios_fuentes_gobierno,homicidios_fuentes_abiertas
20200109,3634,0.2069917965842329,09012020,,
20200110,3501,0.5930180538996406,10012020,82.0,61.0
20200114,4127,0.2030272450233283,14012020,62.0,82.0
20200115,5241,0.6182252885466036,15012020,82.0,101.0
20200116,5477,0.1742758652438288,16012020,86.0,100.0
20200117,3111,0.5654718734777492,17012020,75.0,89.0
20200120,3861,0.1754308742705894,20012020,66.0,73.0
20200121,3999,0.3097013307459976,21012020,93.0,79.0
20200122,4001,0.3641051824520463,22012020,86.0,73.0
20200123,5141,0.384088188085867,23012020,70.0,65.0
20200124,3231,0.2022092366088991,24012020,86.0,84.0
20200127,3879,0.5037624945977459,27012020,79.0,83.0
20200129,4401,0.4679890352617138,29012020,78.0,84.0
20200130,4247,0.4077529437645621,30012020,67.0,66.0
20200131,4214,0.6366317186796147,31012020,58.0,67.0
20200203,1320,0.1133132694418663,03022020,,
20200204,4805,0.3265615815118602,04022020,,
20200205,3498,0.1075790094584226,05022020,,
20200206,3488,0.3709891578360744,06022020,,
20200207,4036,0.2757186882586582,07022020,,
20200210,4112,0.5851691554551539,10022020,80.0,83.0
20200211,4017,0.1700018898527259,11022020,78.0,74.0
20200212,2119,0.1848349093969749,12022020,69.0,78.0
20200213,4086,0.1601275222813305,13022020,75.0,61.0
20200214,2669,0.5134039719856303,14022020,82.0,76.0
20200217,4199,0.6187790561758953,17022020,96.0,83.0
20200218,3758,0.3141592835084251,18022020,71.0,73.0
20200219,3052,0.1600669502758461,19022020,96.0,97.0
20200220,4031,0.2341453676217275,20022020,87.0,90.0
20200221,4439,0.4602963171445804,21022020,78.0,80.0
20200224,2867,0.2274506118407715,24022020,83.0,96.0
20200225,3528,0.3105575619314027,25022020,86.0,82.0
20200226,4882,0.63569992299961,26022020,80.0,70.0
20200227,3302,0.2437675794408373,27022020,61.0,73.0
20200228,4586,0.1328381231103254,28022020,60.0,58.0
20200302,3167,0.1784204147788493,02032020,,
20200303,4814,0.154346207027202,03032020,,
20200304,4189,0.1698735506217116,04032020,,
20200305,4197,0.1017872391090444,05032020,,
20200306,3559,0.5797514190751573,06032020,,
20200309,4236,0.5659668458803839,09032020,,
20200310,3893,0.4784769348411455,10032020,79.0,81.0
20200311,4396,0.5207028031997059,11032020,88.0,80.0
20200312,4690,0.1708567407306121,12032020,94.0,73.0
