id,num_words,score,dates,homicidios_fuentes_gobierno,homicidios_fuentes_abiertas,nnet_score
20191224,2667,0.193174742,12/24/2019,61,54,0.378100473
20191226,1749,0.315742408,12/26/2019,86,75,0.126640454
20191227,3206,0.093798981,12/27/2019,67,50,0.395539043
20200102,3797,0.774374368,1/2/2020,59,69,0.44764947
20200103,2242,0.331585167,1/3/2020,74,78,0.383112164
20200106,4875,0.273193753,1/6/2020,68,63,0.44798509
20200107,4144,0.551890822,1/7/2020,77,65,0.341971012
20200108,3845,0.17412713,1/8/2020,71,76,0.518438453
20200109,3634,0.206991797,1/9/2020,93,80,0.346218512
20200110,3501,0.593018054,1/10/2020,82,61,0.380513603
20200113,5194,0.182136579,1/13/2020,86,106,0.182136579
20200114,4127,0.203027245,1/14/2020,62,82,0.39328785
20200115,5241,0.618225289,1/15/2020,82,101,0.670921142
20200116,5477,0.174275865,1/16/2020,86,100,0.212418622
20200117,3111,0.565471873,1/17/2020,75,89,0.289663406
20200120,3861,0.175430874,1/20/2020,66,73,0.57018301
20200121,3999,0.309701331,1/21/2020,93,79,0.296229941
20200122,4001,0.364105182,1/22/2020,86,73,0.494518663
20200123,5141,0.384088188,1/23/2020,70,65,0.336510016
20200124,3231,0.202209237,1/24/2020,86,84,0.412987011
20200127,3879,0.503762495,1/27/2020,79,83,0.497542535
20200128,3202,0,1/28/2020,87,90,0
20200129,4401,0.467989035,1/29/2020,78,84,0.722227818
20200130,4247,0.407752944,1/30/2020,67,66,0.316776405
20200131,4214,0.636631719,1/31/2020,58,67,0.450174551
20200203,1320,0.113313269,2/3/2020,90,89,0.221760382
20200204,4805,0.326561582,2/4/2020,83,77,0.40801579
20200205,3498,0.107579009,2/5/2020,75,93,0.285011711
20200206,3488,0.370989158,2/6/2020,62,70,0.379724302
20200207,4036,0.275718688,2/7/2020,81,70,0.356566971
20200210,4112,0.585169155,2/10/2020,80,83,0.551281607
20200211,4017,0.17000189,2/11/2020,78,74,0.308051746
20200212,2119,0.184834909,2/12/2020,69,78,0.283425944
20200213,4086,0.160127522,2/13/2020,75,61,0.482448608
20200214,2669,0.513403972,2/14/2020,82,76,0.299657567
20200217,4199,0.618779056,2/17/2020,96,83,0.46921933
20200218,3758,0.314159284,2/18/2020,71,73,0.374555902
20200219,3052,0.16006695,2/19/2020,96,97,0.350157939
20200220,4031,0.234145368,2/20/2020,87,90,0.454067958
20200221,4439,0.460296317,2/21/2020,78,80,0.451533773
20200224,2867,0.227450612,2/24/2020,83,96,0.474928693
20200225,3528,0.310557562,2/25/2020,86,82,0.227584487
20200226,4882,0.635699923,2/26/2020,80,70,0.467620816
20200227,3302,0.243767579,2/27/2020,61,73,0.482091901
20200228,4586,0.132838123,2/28/2020,60,58,0.250815444
20200302,3167,0.178420415,3/2/2020,82,93,0.369576457
20200303,4814,0.154346207,3/3/2020,95,68,0.354028732
20200304,4189,0.169873551,3/4/2020,62,65,0.415278263
20200305,4197,0.101787239,3/5/2020,97,92,0.379557373
20200306,3559,0.579751419,3/6/2020,71,63,0.426493996
20200309,4236,0.565966846,3/9/2020,72,85,0.47576604
20200310,3893,0.478476935,3/10/2020,79,81,0.265887874
20200311,4396,0.520702803,3/11/2020,88,80,0.316519668
20200312,4690,0.170856741,3/12/2020,94,73,0.210257957
20200313,1832,0.216926163,3/13/2020,76,68,0.117000467
20200316,4924,0.420469658,3/16/2020,82,78,0.278549229
20200317,5271,0.256780869,3/17/2020,86,89,0.253413242
20200318,4843,0.276744404,3/18/2020,54,69,0.305042734
20200319,6321,0.16848408,3/19/2020,60,60,0.28517914
20200320,2271,0.108903914,3/20/2020,99,81,0.220605784
20200323,5925,0.661114674,3/23/2020,92,78,0.422113017
20200324,4394,0.468218871,3/24/2020,82,63,0.162566702
20200325,4376,0.15970506,3/25/2020,95,72,0.398588113
20200326,3737,0.512080169,3/26/2020,86,77,0.437516955
20200327,5114,0.331824694,3/27/2020,91,63,0.409063707
20200330,4487,0.302878852,3/30/2020,72,72,0.384311328
20200331,4810,0.171772164,3/31/2020,80,71,0.381782546
20200401,1873,0.169032224,4/1/2020,79,70,0.292214215
20200402,3325,0.479066032,4/2/2020,66,66,0.32929691
20200403,2555,0.429631934,4/3/2020,88,87,0.368205019
20200404,3020,0.071706491,4/4/2020,104,67,0.329844804
20200406,4596,0.63999914,4/6/2020,80,79,0.594541444
20200407,3944,0.313549511,4/7/2020,61,66,0.259883683
20200408,4463,0.141728669,4/8/2020,79,80,0.436237733
20200409,1719,0.066626974,4/9/2020,102,0,0.182407374
20200410,1611,0.324567918,4/10/2020,87,53,0.228057095
20200413,2832,0.127233487,4/13/2020,76,76,0.267598515
20200414,3549,0.447333732,4/14/2020,82,80,0.25439652
20200415,4568,0.139566535,4/15/2020,96,81,0.559723803
20200416,6404,0.297607311,4/16/2020,80,71,0.522618553
20200417,5333,0.396009082,4/17/2020,76,64,0.492963615
20200420,5737,0.602573717,4/20/2020,114,104,0.510077255
20200421,5282,0.150893353,4/21/2020,80,81,0.327984209
20200422,4991,0.48488306,4/22/2020,92,90,0.554608383
20200423,6069,0.241569366,4/23/2020,59,67,0.516545728
20200424,4619,0.702821987,4/24/2020,81,61,0.401077894
20200427,3780,0.272384688,4/27/2020,72,78,0.50575977
20200428,7029,0.42054534,4/28/2020,68,69,0.367453897
20200429,4721,0.206991797,4/29/2020,79,77,0.453102154
20200430,4567,0.158729388,4/30/2020,75,66,0.417256038
20200501,5879,0.294219009,5/1/2020,73,58,0.554135966
20200504,5606,0.435247436,5/4/2020,76,78,0.450356517
20200505,5731,0.170302988,5/5/2020,76,67,0.387585006
20200506,4703,0.510791314,5/6/2020,57,73,0.497325798
20200507,5680,0.36420665,5/7/2020,73,73,0.456540765
20200508,3234,0.411479275,5/8/2020,81,67,0.276019889
20200511,4567,0.361631936,5/11/2020,72,76,0.439754874
