"month.x","year.x","median_nnet","mean_nnet","homicides_open","homicides_gov","median_words","mean_words","date","Indice Mensual","year.y","month.y","approves_mean","disapproves_mean","year","month","president_journalist_trend","violence_journalist_trend1","presidente_periodista_violencia_mx","violence_journalist_trend2"
4,2020,0.401077894076057,0.398776287470992,1633,1876,4567,4199.4347826087,2020-04-01,-1.01,"2020",4,63.5,33,2020,4,44,56,56,30
4,2021,0.426595433600571,0.426455430463246,1407,1460,4534,4681.36842105263,2021-04-01,0.33,"2021",4,60,37,2021,4,52,57,54,30
4,2022,0.477515036709931,0.466399968273266,1177,1255,4581.5,4502.61111111111,2022-04-01,0.54,"2022",4,56,42,2022,4,39,80,52,42
4,2023,0.431507360695497,0.438135572228558,859,944,5780,5595.64285714286,2023-04-01,-0.02,"2023",4,66.3333333333333,29.6666666666667,2023,4,32,62,54,38
5,2019,0.373025698791379,0.381314508851191,1778,1637,3650.5,3694.13636363636,2019-05-01,-0.29,"2019",5,69.1111111111111,23.6666666666667,2019,5,33,51,48,39
5,2020,0.4397548743305,0.417983209714756,1565,1577,4916,4958.85714285714,2020-05-01,0.38,"2020",5,59.6666666666667,33.3333333333333,2020,5,39,54,52,44
5,2021,0.383068346407102,0.375128213411533,1425,1628,4056,3983.33333333333,2021-05-01,0.2,"2021",5,60.7142857142857,34.5714285714286,2021,5,67,61,63,26
5,2022,0.448107496914656,0.453821832991165,1509,1593,4657,4722.28571428571,2022-05-01,0.18,"2022",5,63.3333333333333,32,2022,5,37,85,47,42
5,2023,0.44747096957072,0.440431158616998,1674,1734,5448,5430.65217391304,2023-05-01,-0.22,"2023",5,66.6,29.2,2023,5,34,71,67,54
6,2019,0.313939667771692,0.310342102535555,1755,1623,2787,2830.75,2019-06-01,0.06,"2019",6,71.25,24.25,2019,6,44,49,49,22
6,2020,0.428719022034303,0.414879871960803,1729,1690,4646,4663.5,2020-06-01,0.55,"2020",6,60.4,37.4,2020,6,47,54,58,45
6,2021,0.359019219136756,0.380988535538131,1419,1593,3956,3691.14285714286,2021-06-01,0.53,"2021",6,56,40,2021,6,100,57,97,35
6,2022,0.488227368418289,0.49357225851373,1580,1648,4981,4803.59090909091,2022-06-01,0.84,"2022",6,55.3333333333333,41,2022,6,40,74,58,50
6,2023,0.518550052098606,0.514523869876906,1473,1555,4462,4853.04761904762,2023-06-01,0.1,"2023",6,64.8,29.6,2023,6,41,73,69,58
7,2019,0.439516169234462,0.452396526201205,1848,1644,3483.5,3648.09090909091,2019-07-01,0.38,"2019",7,71,26.5,2019,7,23,40,35,24
7,2020,0.391830567905436,0.387130338868369,1584,1593,4236,4280.15,2020-07-01,0.66,"2020",7,60.5,36,2020,7,33,47,44,23
7,2021,0.494929524997006,0.481527127150295,1609,1602,4340,4242.38095238095,2021-07-01,0.59,"2021",7,66.5,30.5,2021,7,28,41,38,16
7,2022,0.463803267394719,0.444546794618169,1228,1279,5142.5,4883,2022-07-01,0.74,"2022",7,64,32,2022,7,33,54,44,27
