"id","num_words","score","dates","homicides_gov","homicides_open","nnet_score"
20190325,3409,0.05087607,2019-03-25,57,80,0.0508760697386713
20190326,2147,0.256932791,2019-03-26,69,75,0.259706269360107
20190327,3610,0.530606539,2019-03-27,67,73,0.191000082298465
20190328,2740,0.59647358,2019-03-28,60,65,0.398494310819584
20190329,3263,0.352351923,2019-03-29,86,75,0.458827434998491
20190401,2206,0.166617273,2019-04-01,69,71,0.468840127004229
20190402,3628,0.176987788,2019-04-02,62,84,0.393312283974627
20190403,4135,0.478476935,2019-04-03,67,72,0.379418549012879
20190404,2441,0.326561582,2019-04-04,85,77,0.343702387123004
20190405,4564,0.197772928,2019-04-05,74,73,0.483204605566419
20190408,3498,0.489900624,2019-04-08,79,70,0.482906341669352
20190409,4027,0.479030673,2019-04-09,60,73,0.248360435237055
20190410,2786,0.169953256,2019-04-10,55,60,0.446845484686934
20190412,2313,0.513838446,2019-04-12,73,74,0.272212384109912
20190415,3476,0.243500872,2019-04-15,94,91,0.534383941435296
20190416,2309,0.283131997,2019-04-16,82,80,0.413803800772066
20190417,3669,0.651333168,2019-04-17,65,73,0.488288836155249
20190422,3548,0.512871761,2019-04-22,82,85,0.503720791689728
20190423,4484,0.327046745,2019-04-23,79,71,0.523661536418873
20190424,2272,0.37764456,2019-04-24,67,78,0.325233989992867
20190425,3170,0.136050774,2019-04-25,88,85,0.502952577134837
20190426,3642,0.101202503,2019-04-26,54,75,0.212401530117444
20190429,3080,0.205630461,2019-04-29,75,93,0.335743240286475
20190430,2127,0.348400074,2019-04-30,63,71,0.34840007358803
20190501,3748,0.242601131,2019-05-01,64,59,0.58369134536256
20190502,2957,0.633059248,2019-05-02,85,78,0.387865473031998
20190503,2792,0.451406549,2019-05-03,84,97,0.40863305133322
20190506,3990,0.342586247,2019-05-06,68,63,0.538418727154317
20190507,3051,0.601741304,2019-05-07,60,85,0.246416139939557
20190509,3528,0.198282174,2019-05-09,59,69,0.391423494660336
20190510,4497,0.569793587,2019-05-10,58,81,0.420568717290526
20190513,4769,0.201239791,2019-05-13,78,100,0.759744518062343
20190514,4085,0.353904357,2019-05-14,80,72,0.358185924550761
20190515,2411,0.088602219,2019-05-15,68,77,0.236919859155365
20190516,3682,0.263488341,2019-05-16,87,85,0.204664715580318
20190517,3348,0.462428305,2019-05-17,73,72,0.209679725215487
20190520,6455,0.697744452,2019-05-20,68,100,0.650446893585765
20190521,4070,0.211791801,2019-05-21,71,92,0.449515939212364
20190522,2817,0.235901251,2019-05-22,70,86,0.304638098452402
20190523,2929,0.21361391,2019-05-23,92,91,0.346275515284227
20190524,2383,0.24743607,2019-05-24,83,78,0.235760180577636
20190527,5317,0.259280224,2019-05-27,78,89,0.423340022369571
20190528,3957,0.363159936,2019-05-28,81,74,0.332510266394719
20190529,4961,0.437596837,2019-05-29,87,101,0.471866407187089
20190530,3619,0.300691094,2019-05-30,86,69,0.276766694084458
20190531,1905,0.12422242,2019-05-31,57,60,0.151587486241175
20190601,2673,0.282154739,2019-06-01,84,67,0.249875161213719
20190603,3883,0.328388756,2019-06-03,81,67,0.418816490315873
20190604,3832,0.180566881,2019-06-04,65,74,0.496212036259796
20190605,4687,0.356168297,2019-06-05,59,78,0.341020067826561
20190606,2532,0.213286381,2019-06-06,70,83,0.283159867356653
20190607,2627,0.312622385,2019-06-07,87,79,0.330927200511746
20190610,3400,0.558936382,2019-06-10,92,93,0.216495625007412
20190611,1645,0.276169491,2019-06-11,98,98,0.177143380693767
20190612,811,0.248459171,2019-06-12,89,101,0.152534391883275
20190613,604,0.151612258,2019-06-13,83,93,0.196150053703915
20190614,3261,0.217576626,2019-06-14,81,82,0.213798562851937
20190617,4038,0.271223262,2019-06-17,90,120,0.450096255735211
20190618,3098,0.164746707,2019-06-18,93,93,0.426614757905836
20190620,2334,0.242722187,2019-06-20,93,88,0.33251067755015
20190621,2562,0.151973547,2019-06-21,93,97,0.177031502364122
20190624,3305,0.537007642,2019-06-24,81,94,0.271133864677471
20190625,2686,0.300986421,2019-06-25,69,87,0.340004337702108
20190626,2755,0.419191875,2019-06-26,69,82,0.473064514113509
20190627,3063,0.485449132,2019-06-27,66,90,0.363301168006399
20190628,2819,0.23629715,2019-06-28,80,89,0.296952135031638
20190702,4027,0.481216111,2019-07-02,80,84,0.435417419477649
20190703,2848,0.404299444,2019-07-03,73,74,0.396505140843599
20190704,3077,0.615819912,2019-07-04,67,76,0.40693838611893
20190705,2308,0.092487586,2019-07-05,81,73,0.179053344512763
20190708,4975,0.352585694,2019-07-08,85,102,0.477191633595073
20190709,2756,0.176839052,2019-07-09,67,98,0.380021743398646
20190710,3135,0.136535512,2019-07-10,76,96,0.443614918991275
20190711,5505,0.245144935,2019-07-11,85,96,0.540579818837021
20190712,3310,0.485867131,2019-07-12,54,77,0.360551889111166
20190715,3877,0.283681036,2019-07-15,68,93,0.410685891664546
20190716,3492,0.171590565,2019-07-16,67,81,0.519325902397218
20190717,3308,0.470012566,2019-07-17,83,88,0.379319901077644
20190718,4774,0.365387253,2019-07-18,78,85,0.608626747533031
20190719,2243,0.108044606,2019-07-19,65,69,0.340093323484711
20190722,3057,0.639529425,2019-07-22,62,104,0.282361638455287
20190723,4107,0.582977051,2019-07-23,57,87,0.558925515439199
20190724,3842,0.103148582,2019-07-24,70,75,0.51185714651709
20190725,4170,0.123130354,2019-07-25,89,79,0.622499542936035
20190726,3954,0.248524163,2019-07-26,87,77,0.647888214601123
20190729,5790,0.711574311,2019-07-29,82,85,0.599413811577403
20190730,2228,0.37802576,2019-07-30,80,72,0.266990622029356
20190731,3475,0.333751457,2019-07-31,88,77,0.584861023827739
20190801,3469,0.33026477,2019-08-01,54,71,0.46792430764955
20190802,5006,0.462520198,2019-08-02,83,69,0.483605658321277
20190805,4648,0.426220049,2019-08-05,82,108,0.282349538738313
20190807,4402,0.246394231,2019-08-07,73,86,0.417960405971693
20190808,4565,0.204483704,2019-08-08,88,94,0.483538698722487
20190809,3469,0.776756309,2019-08-09,73,72,0.398903762892536
20190812,3936,0.17516888,2019-08-12,73,76,0.514430215941823
20190813,4827,0.676977403,2019-08-13,83,90,0.179616333771011
20190814,2608,0.262343156,2019-08-14,82,94,0.296213494299547
20190815,3033,0.183489477,2019-08-15,74,90,0.383748749909194
20190816,4698,0.2027576,2019-08-16,60,73,0.640188213159209
20190819,3645,0.186761657,2019-08-19,86,102,0.539574543807817
20190820,4272,0.584565051,2019-08-20,98,79,0.617978125395982
20190821,3467,0.255767107,2019-08-21,94,104,0.562131764227929
20190822,2839,0.317620302,2019-08-22,62,84,0.534167908624462
20190823,5077,0.479647935,2019-08-23,70,75,0.621087752658388
20190826,2463,0.43861242,2019-08-26,86,98,0.315604964740898
20190827,3962,0.358455319,2019-08-27,100,87,0.636977794079677
20190828,4245,0.224099666,2019-08-28,79,105,0.511028022221897
20190829,2456,0.105080146,2019-08-29,56,65,0.406256749150546
20190830,4280,0.185814869,2019-08-30,94,79,0.508896709939708
20190902,3326,0.467151864,2019-09-02,76,91,0.40460584262143
20190903,2789,0.685154697,2019-09-03,79,78,0.315187583241774
20190904,3230,0.191474174,2019-09-04,63,86,0.453283885056558
20190905,3700,0.240208031,2019-09-05,64,75,0.375760352300561
20190906,1658,0.316852263,2019-09-06,64,75,0.132249201691669
20190909,2127,0.157283913,2019-09-09,75,93,0.392677166306454
20190910,3159,0.111796502,2019-09-10,78,80,0.234405276590715
20190911,4701,0.481292087,2019-09-11,77,73,0.677854279681392
20190912,3022,0.204814773,2019-09-12,74,87,0.261417498264624
20190913,2576,0.308509068,2019-09-13,71,96,0.426012767618117
20190918,3905,0.254960449,2019-09-18,62,75,0.450719978524291
20190920,3648,0.49758324,2019-09-20,114,107,0.45242832934079
20190923,3540,0.542590486,2019-09-23,85,91,0.633345235845317
20190924,3585,0.245781756,2019-09-24,71,80,0.637654438446397
20190925,4231,0.151973547,2019-09-25,77,87,0.663026017792847
